번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
425,공중화장실,용답역(2),서울특별시 성동구 용답동 127 용답역,서울특별시 성동구 용답동 127 용답역,N,2,3,0,0,0,0,4,0,0,서울교통공사,,24시간,,37.5654297,127.0544888,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
426,공중화장실,금호역(3),서울특별시 성동구 금호동4가 1470 금호역,서울특별시 성동구 금호동4가 1470 금호역,N,6,7,0,0,0,0,5,0,0,서울교통공사,,24시간,,37.5481124,127.0158940,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
427,공중화장실,옥수역(3),서울특별시 성동구 옥수동 168-1 옥수역,서울특별시 성동구 옥수동 168-1 옥수역,N,2,5,0,0,0,0,2,0,0,서울교통공사,,24시간,,37.5399334,127.0172419,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
428,공중화장실,신금호역(5),서울특별시 성동구 금호동2가 223-1 신금호역,서울특별시 성동구 금호동2가 223-1 신금호역,N,3,5,0,0,0,0,8,0,0,서울교통공사,,24시간,,37.5546645,127.0198048,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
429,공중화장실,행당역(5),서울특별시 성동구 행당동 317-241 행당역,서울특별시 성동구 행당동 317-241 행당역,N,5,5,0,0,0,0,10,0,0,서울교통공사,,24시간,,37.5576232,127.0299107,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
430,공중화장실,마장역(5),서울특별시 성동구 마장동 772 마장역,서울특별시 성동구 마장동 772 마장역,N,4,3,0,0,0,0,7,0,0,서울교통공사,,24시간,,37.5662827,127.0431638,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
431,공중화장실,답십리역(5),서울특별시 성동구 용답동 99 답십리역,서울특별시 성동구 용답동 99 답십리역,N,4,6,0,0,0,0,10,0,0,서울교통공사,,24시간,,37.5664458,127.0531812,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
432,공중화장실,서울시설공단 청사 1층화장실,청계천로 540,청계천로 540,N,2,2,0,0,0,0,2,0,0,서울시설공단 총무처,,24시간,,37.5716184,127.0360526,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
433,공중화장실,청계천 1호 화장실,마장동 767-4,마장동 767-4,N,1,1,0,0,0,0,2,0,0,"서울시설공단 청계천 관리처",,24시간,,37.5686158,127.0452581,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
434,공중화장실,청계천 3호 화장실,사근동 235-12,사근동 235-12,N,1,2,0,0,0,0,3,0,0,"서울시설공단 청계천 관리처",,24시간,,37.5617476,127.0495220,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
435,공중화장실,청계천 4호 화장실,마장동 610-13,마장동 610-13,N,1,2,0,0,0,0,3,0,0,"서울시설공단 청계천 관리처",,24시간,,37.5720927,127.0387293,지방자치단체,교통시설,수세식,Y,,N,N,없음,,2020-06-30
436,개방화장실,금호주유소,서울특별시 성동구 금호로 39; 금호주유소 (금호동4가),서울특별시 성동구 금호동4가 187-2 금호주유소,N,1,1,0,0,0,0,1,0,0,금호주유소,,06~23시,,37.5470484,127.0250477,민간,주유소·충전소,수세식,N,없음,Y,N,없음,,2020-09-15
437,공중화장실,이마트성수점,서울특별시 성동구 뚝섬로 377; 이마트 본사 (성수동2가),서울특별시 성동구 성수동2가 333-16 이마트 본사,N,19,20,1,1,0,1,35,1,0,이마트 성수점 시설관리팀,,09~21,,37.5400154,127.0528865,민간,상업시설,수세식,Y,,N,Y,,,2020-09-15
438,공중화장실,성동구립무지개도서관,서울특별시 성동구 고산자로 270; 성동구청 (행당동),서울특별시 성동구 행당동 7 성동구청,N,3,4,1,1,0,1,6,1,0,성동도시관리공단,,10~23,,37.5634560,127.0368210,지방자치단체,공공용시설,수세식,Y,,N,N,없음,,2020-09-15
439,공중화장실,성동구립금호도서관,서울특별시 성동구 난계로 20; 금호작은도서관 (금호동1가),서울특별시 성동구 금호동1가 688 금호작은도서관,N,4,6,1,1,1,0,10,1,1,성동문화재단,,07~24,,37.5540580,127.0248880,지방자치단체,공공용시설,수세식,Y,,Y,N,없음,,2020-09-15
440,공중화장실,대현산체육관,서울특별시 성동구 독서당로63길 44; 대현산체육관 (행당동),서울특별시 성동구 행당동 산 30-40 대현산체육관,N,3,2,0,0,0,0,6,0,0,성동도시관리공단,,06~22,,37.5539640,127.0300921,지방자치단체,관광·체육시설,수세식,N,없음,Y,Y,,,2020-09-15
441,공중화장실,성동구립성수도서관,서울특별시 성동구 뚝섬로1길 43; 성수문화복지회관 (성수동1가),서울특별시 성동구 성수동1가 656-323 성수문화복지회관,N,3,3,1,1,1,1,5,1,1,성동문화재단,,07~24시,,37.5454411,127.0469550,지방자치단체,공공용시설,수세식,Y,,N,Y,,,2020-09-15
442,공중화장실,성동구립청계도서관,서울특별시 성동구 마장로 141 (상왕십리동),서울특별시 성동구 상왕십리동 813,N,2,4,1,1,1,1,6,1,1,성동문화재단,,07~24시,,37.5678257,127.0255501,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2020-09-15
443,공중화장실,마장국민체육센터,서울특별시 성동구 마조로11길 6; 마장국민체육센터 (마장동),서울특별시 성동구 마장동 399-98 마장국민체육센터,N,2,2,1,1,0,0,2,1,0,성동도시관리공단,,06~22시,,37.5621277,127.0407835,지방자치단체,관광·체육시설,수세식,N,없음,Y,N,없음,,2020-09-15
444,공중화장실,열림금호교육문화관,서울특별시 성동구 무수막길 69; 금호초등학교 (금호동2가),서울특별시 성동구 금호동2가 511 금호초등학교,N,2,1,0,0,0,0,3,0,0,성동도시관리공단,,06~22,,37.5527068,127.0198751,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2020-09-15
445,공중화장실,성동구민종합체육센터,서울특별시 성동구 왕십리로 89; 성동구민종합체육쎈터 (성수동1가),서울특별시 성동구 성수동1가 685-697 성동구민종합체육쎈터,N,3,3,0,0,1,0,3,0,1,성동도시관리공단,,06~22시,,37.5458701,127.0440144,지방자치단체,관광·체육시설,수세식,N,없음,Y,Y,,,2020-09-15
446,공중화장실,성동구립용답도서관,서울특별시 성동구 용답중앙3길 10; 성동구립용답도서관 (용답동),서울특별시 성동구 용답동 95-1 성동구립용답도서관,N,4,5,1,1,1,1,9,1,1,성동문화재단,,06~22시,,37.5667030,127.0513143,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-09-16
447,공중화장실,금호공원체육관,서울특별시 성동구 장터1길 20; 금호공원 체육관 (금호동3가),서울특별시 성동구 금호동3가 1266 금호공원 체육관,N,2,1,0,0,0,0,3,0,0,성동도시관리공단,,06~22시,,37.5494041,127.0186929,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2020-09-16
448,공중화장실,성동구의회,서울특별시 성동구 고산자로 266; 성동구의회 (행당동),서울특별시 성동구 행당동 7 성동구의회,N,10,15,0,0,0,0,9,0,0,성동도시관리공단,,09~18,,37.5628633,127.0368536,지방자치단체,공공용시설,수세식,N,없음,N,Y,,,2020-09-16
449,공중화장실,성동구청사,서울특별시 성동구 고산자로 270; 성동구청 (행당동),서울특별시 성동구 행당동 7 성동구청,N,54,1,53,1,1,1,52,1,1,성동도시관리공단,,09~18,,37.5634560,127.0368210,지방자치단체,공공용시설,수세식,Y,,N,N,없음,,2020-09-16
450,공중화장실,성동종합행정마을 옥외화장실,서울특별시 성동구 고산자로 270; 성동구청 (행당동),서울특별시 성동구 행당동 7 성동구청,N,1,2,0,0,0,0,2,0,0,성동도시관리공단,,24시간,,37.5634560,127.0368210,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-09-16
451,공중화장실,성동광진교육지원청,서울특별시 성동구 고산자로 280; 성동광진교육지원청 (행당동),서울특별시 성동구 행당동 7 성동광진교육지원청,N,11,24,0,0,0,0,16,0,0,성동도시관리공단,,09~18,,37.5640522,127.0366761,지방자치단체,공공용시설,수세식,N,없음,Y,Y,,,2020-09-16
452,공중화장실,왕십리문화공원,도선동 35-2,도선동 35-2,N,2,2,0,0,0,0,4,2,1,청소과 공중화장실,,24시간,2002-12,37.553588,127.041916,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
453,공중화장실,무학봉공원,하왕십리동 890-243,하왕십리동 890-243,N,1,1,0,0,0,0,1,0,0,청소과 공중화장실,,24시간,2005-12,37.56194864,127.0270791,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
454,공중화장실,자전거체험학습장,마장동 811,마장동 811,N,1,1,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2012-06,37.55396863,127.0468217,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
455,공중화장실,마장기사식당앞,서울특별시 성동구 마장로42길 25(마장동),서울특별시 성동구 마장동 779,N,1,1,0,0,0,0,1,0,0,청소과 공중화장실,,24시간,2010-08,37.56565908,127.0467979,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
456,공중화장실,마장어린이공원,마장동 780-1,마장동 780-1,N,2,2,0,0,0,0,2,1,0,청소과 공중화장실,,24시간,1980-07,37.56630371,127.0457287,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
457,공중화장실,마장축산물 한전뒤,마장동 487-1,마장동 487-1,N,2,2,0,0,0,0,4,0,0,청소과 공중화장실,,24시간,2010-01,37.5677891,127.0394271,지방자치단체,상업시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
458,공중화장실,마장축산물시장,마장동 803,마장동 803,N,2,3,0,0,0,0,5,0,0,청소과 공중화장실,,24시간,2010-05,37.57098156,127.041164,지방자치단체,상업시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
459,공중화장실,마장체육공원,마장동 802-2,마장동 802-2,N,1,1,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2016-12,37.56970249,127.0451512,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
460,공중화장실,살곶이 진입부,사근동 102-26,사근동 102-26,N,1,1,0,0,0,0,2,1,0,청소과 공중화장실,,24시간,2008-01,37.55435223,127.047948,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
461,공중화장실,살곶이 인라인스케이트장,사근동 103-2,사근동 103-2,N,1,1,1,0,0,0,1,0,0,청소과 공중화장실,,24시간,2008-01,37.55397333,127.0463266,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
462,공중화장실,성동구립도서관,서울특별시 성동구 고산자로10길 9; 성동문화정보센터 (행당동),서울특별시 성동구 행당동 142-4 성동문화정보센터,N,13,12,1,1,1,1,14,1,1,성동문화재단,,07~24,,37.5592667,127.0349875,지방자치단체,공공용시설,수세식,Y,,N,N,없음,,2020-09-15
463,공중화장실,살곶이 진출부,사근동 102-26,사근동 102-26,N,1,1,2,0,0,0,1,0,0,청소과 공중화장실,,24시간,2005-09,37.55571513,127.0503255,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
464,공중화장실,살곶이 궁터장,행당동 81-4,행당동 81-4,N,1,2,3,0,0,0,2,0,0,청소과 공중화장실,,24시간,2002-11,37.55363028,127.0421051,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
465,공중화장실,한양대 앞,행당동 20-2,행당동 20-2,N,1,1,4,0,0,0,2,1,0,청소과 공중화장실,,24시간,2009-11,37.566104,127.045757,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
466,공중화장실,소월아트홀광장,행당동 142-16,행당동 142-16,N,1,1,1,1,0,0,2,1,0,청소과 공중화장실,,24시간,2011-12,37.559276,127.0359937,지방자치단체,공공용시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
467,공중화장실,대림공원(논골새싹),행당동 347-2,행당동 347-2,N,1,1,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2002-11,37.5577122,127.02479,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
468,공중화장실,응봉암벽공원,응봉동 269-4,응봉동 269-4,N,1,2,1,1,0,0,4,1,0,청소과 공중화장실,,24시간,2009-01,37.54862196,127.0308482,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
469,공중화장실,응봉개나리어린이공원,응봉동 270,응봉동 270,N,2,3,1,0,0,0,2,1,0,청소과 공중화장실,,24시간,1988-01,37.5484820,127.0319613,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
470,공중화장실,응봉 자전거대여소,응봉동 3-11,응봉동 3-11,N,1,1,0,0,0,0,1,0,0,청소과 공중화장실,,24시간,2006-05,37.5486039,127.0309953,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
471,공중화장실,응봉체육공원,응봉동 9-4,응봉동 9-4,N,1,1,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2008-01,37.55155735,127.0372943,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
472,개방화장실,미타사,서울특별시 성동구 독서당로40길 21; 미타사 (옥수동),서울특별시 성동구 옥수동 395-1 미타사,N,1,2,0,0,0,0,3,0,0,청소행정과 민간개방,,24시간,,37.5435205,127.0172154,민간,기타,수세식,N,없음,N,N,없음,,2020-09-21
473,공중화장실,성동구 금호분소,서울특별시 성동구 행당로 12; 성동구보건소 금호분소 (금호동1가),서울특별시 성동구 금호동1가 1828 성동구보건소 금호분소,N,6,10,1,1,0,0,10,1,0,보건위생과,,09~18시,,37.5544904,127.0214611,민간,기타,수세식,Y,,N,N,없음,,2020-09-22
474,개방화장실,나래타워,서울특별시 성동구 고산자로 234 (행당동),서울특별시 성동구 행당동 267-23,N,1,2,0,0,0,0,1,0,0,청소행정과 민간개방,,05~22시,,37.5605386,127.0352721,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
475,공중화장실,대현산관리사무소,금호1가동 산 37-1,금호1가동 산 37-1,N,1,1,1,1,0,0,2,1,0,청소과 공중화장실,,24시간,2009-01,37.55250583,127.0285684,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
476,공중화장실,대현산자율방범초소뒤(간),금호1가동 산 37-1,금호1가동 산 37-1,Y,1,0,0,0,0,0,0,0,0,청소과 공중화장실,,24시간,2007-01,37.5532166,127.0296265,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
477,공중화장실,대현산공원(간),금호1가동 산 37-1,금호1가동 산 37-1,N,1,1,0,0,0,0,1,0,0,청소과 공중화장실,,24시간,2001-01,37.55250583,127.0285684,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
478,공중화장실,독서당공원,금호1가동 산 37-7,금호1가동 산 37-7,N,1,2,1,1,0,0,3,1,0,청소과 공중화장실,,24시간,2010-01,37.55085122,127.0292111,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
479,공중화장실,금호정(군부대앞)(간),금호2가동 산 9-1,금호2가동 산 9-1,N,1,1,0,0,0,0,1,0,0,청소과 공중화장실,,24시간,2020-06,37.55309899,127.0178672,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
480,공중화장실,금호산(부대입구),금호2가동 산 1 외,금호2가동 산 1 외,N,1,2,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2002-11,37.55309899,127.0178672,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
481,공중화장실,금남시장뒤,금호3가동 474-2,금호3가동 474-2,N,1,2,0,0,0,0,3,1,0,청소과 공중화장실,,24시간,1989-12,37.5489637,127.0224241,지방자치단체,상업시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
482,공중화장실,금호3가경로당,금호3가동 451,금호3가동 451,N,2,3,0,0,0,0,6,0,0,청소과 공중화장실,,24시간,1985-08,37.54815667,127.0213368,지방자치단체,공공용시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
483,공중화장실,금호4가(얼음가게),금호4가동 1122,금호4가동 1122,N,2,2,0,0,0,0,3,0,0,청소과 공중화장실,,24시간,1981-06,37.548154,127.0205074,지방자치단체,상업시설,수세식,Y,여자화장실,N,N,없음,2015-12,2020-06-30
484,공중화장실,달맞이봉,금호4가동 산 28-1,금호4가동 산 28-1,N,1,2,0,0,0,0,3,0,0,청소과 공중화장실,,24시간,2010-01,37.5454363,127.0203834,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
485,공중화장실,응봉산팔각정,금호4가동 1540,금호4가동 1540,N,2,3,1,0,0,0,1,0,0,청소과 공중화장실,,24시간,2009-10,37.548457,127.03193,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
486,공중화장실,매봉산 지하수 옆,옥수동 428-6,옥수동 428-6,N,2,3,0,0,0,0,4,1,0,청소과 공중화장실,,24시간,2009-05,37.54577851,127.0087698,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
487,공중화장실,송정제방길,성수1가2동 20,성수1가2동 20,N,1,2,0,0,0,0,2,1,0,청소과 공중화장실,,24시간,2012-09,37.5446457,127.0493120,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
488,공중화장실,성삼공원,성수2가3동 273-11,성수2가3동 273-11,N,2,3,1,0,0,0,5,0,0,청소과 공중화장실,,24시간,2009-08,37.54209868,127.0601918,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
489,공중화장실,성수근린공원,성수2가3동 302-25,성수2가3동 302-25,N,1,2,0,0,0,0,2,1,0,청소과 공중화장실,,24시간,1995-06,37.54489994,127.0525164,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
490,공중화장실,새말빗물펌프장,송정동 93,송정동 93,N,1,2,0,0,0,0,2,1,0,청소과 공중화장실,,24시간,2012-06,37.553132,127.028349,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
491,공중화장실,송정농구장,송정동 73-24,송정동 73-24,N,1,1,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2004-01,37.55270682,127.0664699,지방자치단체,기타,수세식,Y,여자화장실,N,N,없음,,2020-06-30
492,공중화장실,송정제방,송정동 75-14,송정동 75-14,N,1,1,0,0,0,0,2,1,0,청소과 공중화장실,,24시간,2010-05,37.569826,127.044108,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
493,공중화장실,중량물재생센터 앞,송정동 73-37,송정동 73-37,N,2,3,0,0,0,0,4,0,0,청소과 공중화장실,,24시간,2021-12,37.5509296,127.0628883,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2022-01-14
494,공중화장실,용답휴식공원(신답역),용답동 128-3,용답동 128-3,N,2,3,1,0,0,0,5,1,0,청소과 공중화장실,,24시간,2009-05,37.569744,127.0469446,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
495,공중화장실,용답꽃공원,용답동 27-1,용답동 27-1,N,1,2,1,0,0,0,3,1,0,청소과 공중화장실,,24시간,2009-05,37.5630545,127.056119,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,Y,여자화장실,,2020-06-30
496,공중화장실,용답어린이공원(매매센터),용답동 234-1,용답동 234-1,N,3,3,1,0,1,0,5,1,1,청소과 공중화장실,,24시간,2010-02,37.5603682,127.0645750,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
497,공중화장실,응봉테니스장,응봉동 235,응봉동 235,N,1,1,1,0,0,0,2,1,0,청소과 공중화장실,,24시간,2017-01,37.55134113,127.0372433,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
498,공중화장실,살곶이체육공원,사근동102-16,사근동102-16,N,1,2,1,0,0,0,3,1,0,청소과 공중화장실,,24시간,2017-01,37.554143,127.0500557,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
499,공중화장실,행당6구역근린공원,행당동100,행당동100,N,2,1,1,0,0,0,5,1,0,청소과 공중화장실,,24시간,2019-01,37.5556556,127.0377244,지방자치단체,관광·체육시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
500,공중화장실,도선공영주차장,도선동 369,도선동 369,N,1,1,0,0,0,0,2,0,0,청소과 공중화장실,,24시간,2013-08,37.5652667,127.0307852,지방자치단체,공공용시설,수세식,Y,여자화장실,N,N,없음,,2020-06-30
501,공중화장실,독서당인문아카데미센터,서울특별시 성동구 금호로 30; 독서당 인문아카데미센터 (금호동4가),서울특별시 성동구 금호동4가 56 독서당 인문아카데미센터,N,4,4,1,1,0,0,6,1,0,성동구 교육지원과,,09~21시,,37.5461210,127.0252935,지방자치단체,공공용시설,수세식,Y,,Y,N,없음,,2020-09-21
502,개방화장실,응봉대림1차 노변상가,서울특별시 성동구 독서당로 398; 노선상가 (응봉동),서울특별시 성동구 응봉동 100 노선상가,N,1,2,0,0,0,0,2,0,0,청소행정과 민간개방,,24시간,,37.5508071,127.0322464,민간,상업시설,수세식,N,없음,N,N,없음,,2020-09-21
503,개방화장실,옥수주유소,서울특별시 성동구 독서당로 168 (옥수동),서울특별시 성동구 옥수동 449-5,N,1,2,0,0,0,0,1,0,0,청소행정과 민간개방,,24시간,,37.5408688,127.0114303,민간,주유소·충전소,수세식,N,없음,N,N,없음,,2020-09-21
504,개방화장실,이영빌딩,서울특별시 성동구 동일로 41 (성수동2가),서울특별시 성동구 성수동2가 235-1,N,1,1,0,0,0,0,1,0,0,청소행정과 민간개방,,24시간,,37.5369345,127.0605962,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
505,공중화장실,송정동주민센터,서울특별시 성동구 동일로43길 13; 송정동주민센터 (송정동),서울특별시 성동구 송정동 72-31 송정동주민센터,N,5,2,0,0,0,0,2,0,0,주민센터,,09~18시,,37.5545217,127.0696004,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-09-22
506,개방화장실,성동현대주유소,서울특별시 성동구 마장로 311; 신원주유소 (마장동),서울특별시 성동구 마장동 771-6 신원주유소,N,1,1,0,0,0,0,1,0,0,청소행정과 민간개방,,05~24시간,,37.5670030,127.0438041,민간,주유소·충전소,수세식,N,없음,N,N,없음,,2020-09-22
507,공중화장실,성수1가제2동주민센터,서울특별시 성동구 상원6나길 22-7; 성수1가주민센터 (성수동1가),서울특별시 성동구 성수동1가 13-444 성수1가주민센터,N,4,2,0,0,0,1,3,0,0,주민센터,,09~18시,,37.5477627,127.0500614,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2020-09-22
508,개방화장실,서울숲코오롱디지털타워,서울특별시 성동구 성수일로4길 25; 서울숲코오롱디지털타워 (성수동2가),서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워,N,3,3,0,0,0,0,2,0,0,청소행정과 민간개방,,24시간,,37.5425050,127.0518658,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
509,개방화장실,도루코주유소,서울특별시 성동구 아차산로 180; 도루코주유소 (성수동2가),서울특별시 성동구 성수동2가 19-14 도루코주유소,N,1,2,0,0,0,0,1,0,0,청소행정과 민간개방,,24시간,,37.5420121,127.0634160,민간,주유소·충전소,수세식,N,없음,N,N,없음,,2020-09-22
510,개방화장실,리빠똥호프,서울특별시 성동구 왕십리로 357; 목치과 (하왕십리동),서울특별시 성동구 하왕십리동 946-40 목치과,N,1,1,0,0,0,0,1,0,0,청소행정과 민간개방,,24시간,,37.5638346,127.0302220,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
511,개방화장실,장안빌딩,서울특별시 성동구 천호대로 320; 장안빌딩 (용답동),서울특별시 성동구 용답동 2-3 장안빌딩,N,2,2,0,0,0,0,1,0,0,청소행정과 민간개방,,24시간,,37.5644359,127.0551666,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
512,공중화장실,엔터식스 왕십리점,서울특별시 성동구 왕십리광장로 17; 왕십리민자역사 (행당동),서울특별시 성동구 행당동 168-151 왕십리민자역사,N,4,8,1,1,1,1,20,1,1,관리사무소,,10~21시,,37.5614086,127.0384812,민간,상업시설,수세식,Y,,Y,Y,,,2020-09-22
513,공중화장실,이마트 왕십리점,서울특별시 성동구 왕십리광장로 17; 왕십리민자역사 (행당동),서울특별시 성동구 행당동 168-151 왕십리민자역사,N,6,8,0,0,0,1,14,0,0,관리사무소,,10~21시,,37.5614086,127.0384812,민간,상업시설,수세식,N,없음,Y,N,없음,,2020-09-22
514,공중화장실,엔터식스 한양대점,서울특별시 성동구 왕십리로 241 (행당동; 서울숲 더샵),서울특별시 성동구 행당동 377 서울숲 더샵,N,21,22,1,1,1,1,36,1,1,관리사무소,,10~21시,,37.5562273,127.0401196,민간,상업시설,수세식,N,없음,N,N,없음,,2020-09-22
515,공중화장실,응봉역,서울특별시 성동구 고산자로 123; 응봉역 (응봉동),서울특별시 성동구 응봉동 246 응봉역,N,3,3,1,0,0,0,2,1,0,서울교통공사,,05~24시,,37.5504482,127.0349279,공공기관,교통시설,수세식,Y,,Y,Y,,,2020-09-25
516,개방화장실,동부가스충전소,서울특별시 성동구 광나루로 200 (성수동2가),서울특별시 성동구 성수동2가 284-108,N,1,1,0,0,0,0,1,0,0,동부가스충전소,,08~23시,,37.5504585,127.0524366,민간,주유소·충전소,수세식,N,없음,N,N,없음,,2020-09-17
517,공중화장실,서울연세병원,서울특별시 성동구 왕십리로 296 (행당동),서울특별시 성동구 행당동 198-1,N,2,4,1,1,0,0,2,1,0,관리사무소,,07~21시,,37.5606334,127.0361651,민간,기타,수세식,N,없음,Y,N,없음,,2020-09-22
518,개방화장실,우인빌딩,서울특별시 성동구 왕십리로 339 (하왕십리동),서울특별시 성동구 하왕십리동 966-2,N,1,1,0,0,0,0,3,0,0,청소행정과 민간개방,,06~24시,,37.5629122,127.0321022,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
519,공중화장실,시온요양병원,서울특별시 성동구 자동차시장1길 85; JS 빌딩 (용답동),서울특별시 성동구 용답동 235-8 JS 빌딩,N,5,5,1,1,0,0,5,1,0,관리사무소,,07~21시,,37.5605143,127.0671622,민간,기타,수세식,Y,,N,N,없음,,2020-09-22
520,공중화장실,행당2동주민센터,서울특별시 성동구 행당로9길 9; 행당제2동주민센터 (행당동),서울특별시 성동구 행당동 347-1 행당제2동주민센터,N,1,1,1,1,0,0,1,1,0,주민센터,,09~18,,37.5582080,127.0293500,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2020-09-22
521,개방화장실,신세계오피스텔,서울특별시 성동구 행당로 6; 신세계오피스텔 (금호동1가),서울특별시 성동구 금호동1가 481-5 신세계오피스텔,N,1,1,0,0,0,0,2,0,0,청소행정과 민간개방,,08~22시,,37.5544823,127.0207557,민간,기타,수세식,N,없음,N,N,없음,,2020-09-22
